Date,Year,Model,Revenue,Quantity Sold,Region,Country,Channel
01-01-19,2019,Land Cruiser,94654,2,Africa,Nigeria,Wholesale
01-01-19,2019,Hilux,111259,1,Africa,Kenya,Wholesale
02-01-19,2019,Aqua,94881,3,South America,Chile,Wholesale
04-01-19,2019,Land Cruiser,35293,4,Asia,South Korea,Wholesale
04-01-19,2019,Hilux,76275,5,Asia,Japan,Wholesale
05-01-19,2019,Hilux,74929,3,Asia,South Korea,Wholesale
06-01-19,2019,Corolla,82563,4,South America,Colombia,Dealership
07-01-19,2019,Aqua,71767,3,South America,Chile,Wholesale
07-01-19,2019,Hilux,67202,4,Africa,Morocco,Wholesale
07-01-19,2019,Corolla,82195,5,Asia,Japan,Wholesale
08-01-19,2019,Prius,106309,3,Europe,Italy,Wholesale
08-01-19,2019,Hilux,35983,4,Europe,Spain,Wholesale
08-01-19,2019,Prius,74863,1,South America,Peru,Dealership
09-01-19,2019,Aqua,59157,2,North America,Mexico,Dealership
09-01-19,2019,Prius,59493,4,North America,United States,Wholesale
10-01-19,2019,Land Cruiser,89019,4,Europe,Italy,Dealership
10-01-19,2019,Corolla,113748,4,North America,Mexico,Wholesale
10-01-19,2019,Corolla,68568,3,North America,Canada,Wholesale
11-01-19,2019,Hilux,118264,2,Europe,France,Wholesale
12-01-19,2019,Land Cruiser,78586,3,Europe,Spain,Wholesale
12-01-19,2019,Hilux,44063,4,North America,Mexico,Wholesale
12-01-19,2019,Aqua,82810,4,South America,Argentina,Dealership
13-01-19,2019,Aqua,99626,2,Asia,Japan,Wholesale
13-01-19,2019,Aqua,118393,1,North America,United States,Wholesale
14-01-19,2019,Aqua,93737,3,Asia,China,Dealership
15-01-19,2019,Aqua,101997,1,South America,Colombia,Wholesale
15-01-19,2019,Aqua,107838,4,Africa,Kenya,Dealership
15-01-19,2019,Aqua,53877,4,Asia,South Korea,Dealership
16-01-19,2019,Aqua,73420,5,South America,Brazil,Wholesale
16-01-19,2019,Aqua,112782,5,South America,Peru,Dealership
16-01-19,2019,Aqua,100875,1,Asia,China,Wholesale
16-01-19,2019,Aqua,55094,5,Asia,India,Dealership
17-01-19,2019,Aqua,104500,2,Europe,Spain,Wholesale
17-01-19,2019,Aqua,60373,1,South America,Colombia,Wholesale
17-01-19,2019,Aqua,53898,5,Africa,Egypt,Wholesale
17-01-19,2019,Aqua,77937,5,South America,Brazil,Dealership
18-01-19,2019,Aqua,66388,2,Asia,China,Wholesale
18-01-19,2019,Aqua,118627,2,North America,Mexico,Dealership
18-01-19,2019,Aqua,112462,1,Africa,Egypt,Wholesale
19-01-19,2019,Aqua,64030,3,Africa,Egypt,Dealership
19-01-19,2019,Aqua,91913,2,South America,Argentina,Wholesale
19-01-19,2019,Aqua,53184,5,North America,Mexico,Dealership
19-01-19,2019,Aqua,76721,1,Asia,Japan,Wholesale
19-01-19,2019,Aqua,103236,3,Asia,Japan,Wholesale
20-01-19,2019,Corolla,72296,1,Europe,Italy,Dealership
20-01-19,2019,Hilux,34286,5,South America,Chile,Dealership
21-01-19,2019,Corolla,117156,3,South America,Colombia,Wholesale
21-01-19,2019,Land Cruiser,73639,3,North America,Canada,Wholesale
21-01-19,2019,Aqua,60431,2,South America,Argentina,Wholesale
21-01-19,2019,Land Cruiser,92363,4,Africa,Egypt,Dealership
21-01-19,2019,Hilux,45072,5,Europe,Germany,Wholesale
21-01-19,2019,Aqua,40916,4,Africa,South Africa,Wholesale
22-01-19,2019,Corolla,77369,5,South America,Colombia,Wholesale
22-01-19,2019,Hilux,48946,1,North America,United States,Wholesale
23-01-19,2019,Aqua,51863,4,South America,Peru,Dealership
23-01-19,2019,Yaris,90064,3,Europe,Germany,Wholesale
24-01-19,2019,Prius,90656,2,Europe,France,Wholesale
24-01-19,2019,Land Cruiser,53545,5,Europe,United Kingdom,Wholesale
24-01-19,2019,Land Cruiser,54019,2,Africa,Kenya,Wholesale
25-01-19,2019,Hilux,86625,5,Europe,Germany,Dealership
26-01-19,2019,Aqua,81701,3,North America,United States,Wholesale
27-01-19,2019,Hilux,57386,3,South America,Brazil,Wholesale
28-01-19,2019,Corolla,105769,3,Asia,India,Dealership
28-01-19,2019,Land Cruiser,47822,3,Africa,Kenya,Wholesale
28-01-19,2019,Hilux,105462,3,South America,Brazil,Wholesale
28-01-19,2019,Land Cruiser,70023,2,Europe,United Kingdom,Wholesale
28-01-19,2019,Hilux,85878,1,Europe,France,Wholesale
29-01-19,2019,Corolla,77984,4,South America,Argentina,Wholesale
29-01-19,2019,Aqua,86577,2,North America,Canada,Wholesale
29-01-19,2019,Prius,106369,4,Africa,Egypt,Dealership
29-01-19,2019,Land Cruiser,80929,1,South America,Brazil,Dealership
30-01-19,2019,Hilux,57081,5,Asia,China,Wholesale
30-01-19,2019,Prius,32751,1,Africa,Nigeria,Dealership
31-01-19,2019,Hilux,70194,1,Africa,Egypt,Dealership
31-01-19,2019,Land Cruiser,88479,5,Africa,Kenya,Dealership
31-01-19,2019,Aqua,56953,4,Africa,Kenya,Wholesale
31-01-19,2019,Land Cruiser,48642,3,Asia,China,Wholesale
31-01-19,2019,Prius,81176,5,Asia,Japan,Wholesale
31-01-19,2019,Yaris,51863,5,North America,Mexico,Wholesale
31-01-19,2019,Corolla,48114,1,Europe,France,Dealership
01-02-19,2019,Prius,86843,5,Africa,Morocco,Dealership
01-02-19,2019,Corolla,72563,2,Europe,Spain,Wholesale
01-02-19,2019,Aqua,60373,3,Europe,United Kingdom,Wholesale
01-02-19,2019,Aqua,108104,1,Europe,Spain,Wholesale
01-02-19,2019,Prius,94746,4,Asia,South Korea,Wholesale
01-02-19,2019,Prius,116973,4,North America,United States,Dealership
02-02-19,2019,Aqua,77470,4,South America,Brazil,Wholesale
02-02-19,2019,Prius,75760,4,Asia,China,Dealership
03-02-19,2019,Prius,109449,4,Africa,Kenya,Wholesale
03-02-19,2019,Aqua,73884,1,Asia,India,Wholesale
03-02-19,2019,Aqua,35565,2,Europe,United Kingdom,Wholesale
03-02-19,2019,Hilux,116488,2,Africa,South Africa,Wholesale
03-02-19,2019,Prius,107554,4,Asia,Japan,Wholesale
04-02-19,2019,Aqua,51340,2,South America,Argentina,Wholesale
04-02-19,2019,Prius,108651,3,South America,Peru,Wholesale
05-02-19,2019,Hilux,61772,2,South America,Chile,Dealership
06-02-19,2019,Aqua,112888,5,North America,Canada,Dealership
06-02-19,2019,Corolla,88975,4,Asia,Japan,Dealership
06-02-19,2019,Corolla,111344,5,Europe,France,Wholesale
07-02-19,2019,Corolla,36918,5,Asia,India,Wholesale
07-02-19,2019,Prius,80711,4,South America,Brazil,Dealership
07-02-19,2019,Land Cruiser,60070,1,North America,Mexico,Dealership
07-02-19,2019,Aqua,43366,2,North America,United States,Wholesale
08-02-19,2019,Land Cruiser,39200,3,Asia,China,Dealership
08-02-19,2019,Hilux,89151,1,Asia,Japan,Dealership
08-02-19,2019,Prius,53226,3,Africa,Morocco,Wholesale
08-02-19,2019,Prius,116891,4,Asia,Thailand,Wholesale
08-02-19,2019,Yaris,90085,2,Europe,Germany,Wholesale
08-02-19,2019,Hilux,53486,1,Europe,United Kingdom,Dealership
09-02-19,2019,Hilux,34700,4,Europe,Germany,Wholesale
09-02-19,2019,Hilux,111863,1,Asia,South Korea,Dealership
09-02-19,2019,Hilux,37988,5,South America,Colombia,Wholesale
10-02-19,2019,Corolla,31634,2,Africa,South Africa,Wholesale
10-02-19,2019,Aqua,94052,2,South America,Argentina,Wholesale
10-02-19,2019,Corolla,73352,4,Europe,United Kingdom,Wholesale
11-02-19,2019,Prius,90634,4,Asia,India,Dealership
11-02-19,2019,Yaris,75939,4,Africa,Morocco,Wholesale
11-02-19,2019,Corolla,95327,2,Europe,Germany,Dealership
13-02-19,2019,Prius,117498,5,South America,Peru,Dealership
13-02-19,2019,Hilux,100938,2,Europe,Spain,Wholesale
13-02-19,2019,Corolla,36900,4,North America,Canada,Wholesale
14-02-19,2019,Hilux,49332,3,Africa,South Africa,Wholesale
14-02-19,2019,Land Cruiser,100672,5,Asia,China,Wholesale
15-02-19,2019,Prius,101627,2,North America,Canada,Wholesale
15-02-19,2019,Corolla,98203,3,South America,Brazil,Dealership
15-02-19,2019,Corolla,118499,5,Asia,Japan,Dealership
15-02-19,2019,Hilux,85943,2,Asia,Japan,Wholesale
16-02-19,2019,Aqua,36221,4,South America,Brazil,Dealership
16-02-19,2019,Hilux,51788,2,North America,Canada,Wholesale
16-02-19,2019,Corolla,59350,5,Asia,Thailand,Wholesale
17-02-19,2019,Corolla,43264,4,Africa,Nigeria,Wholesale
17-02-19,2019,Corolla,60816,1,North America,United States,Wholesale
17-02-19,2019,Land Cruiser,37426,3,South America,Peru,Wholesale
18-02-19,2019,Aqua,44287,4,Europe,Spain,Dealership
18-02-19,2019,Corolla,119622,4,Asia,India,Wholesale
18-02-19,2019,Prius,78659,5,Asia,India,Dealership
19-02-19,2019,Prius,91852,5,Africa,Nigeria,Wholesale
19-02-19,2019,Hilux,42583,3,Europe,Germany,Wholesale
19-02-19,2019,Corolla,67455,5,Europe,United Kingdom,Wholesale
19-02-19,2019,Prius,102454,4,Asia,India,Wholesale
19-02-19,2019,Prius,113401,3,Europe,Italy,Wholesale
20-02-19,2019,Corolla,63314,3,South America,Colombia,Wholesale
20-02-19,2019,Corolla,42134,2,Europe,United Kingdom,Dealership
20-02-19,2019,Corolla,67525,4,Africa,Kenya,Wholesale
20-02-19,2019,Hilux,90345,4,Africa,Morocco,Wholesale
21-02-19,2019,Aqua,63617,5,North America,Mexico,Wholesale
21-02-19,2019,Aqua,93444,4,Europe,United Kingdom,Wholesale
21-02-19,2019,Prius,113489,5,Africa,Kenya,Wholesale
21-02-19,2019,Corolla,36487,4,Europe,Italy,Wholesale
22-02-19,2019,Land Cruiser,84890,2,Europe,Spain,Wholesale
22-02-19,2019,Prius,86865,4,Asia,Japan,Wholesale
22-02-19,2019,Hilux,76295,2,Africa,Nigeria,Wholesale
23-02-19,2019,Prius,117702,4,Asia,China,Wholesale
24-02-19,2019,Aqua,80294,4,Asia,Thailand,Wholesale
24-02-19,2019,Land Cruiser,108959,1,North America,Mexico,Wholesale
24-02-19,2019,Hilux,106844,4,Africa,Nigeria,Dealership
25-02-19,2019,Aqua,81564,2,North America,Mexico,Wholesale
25-02-19,2019,Prius,35804,3,South America,Chile,Dealership
26-02-19,2019,Prius,78643,2,Africa,Kenya,Wholesale
